Episode;Episode title;KAY;Description
365;The Synchronicity Case (Part 2);FILLER;FILLER
366;The Tragedy of the Pier in Plain Sight (Part 1);FILLER;FILLER
367;The Tragedy of the Pier in Plain Sight (Part 2);FILLER;FILLER
368;The Candy House the Witch Lives In;FILLER;FILLER
369;A Lucky Man's Suspense;FILLER;FILLER
370;Running Away in a Game;FILLER;FILLER
371;A Course Without Protest (Part 1);FILLER;FILLER
372;A Course Without Protest (Part 2);FILLER;FILLER
373;Deadly Poisonous Spider Trap;FILLER;FILLER
374;A Code of Stars and Tobacco (Part 1);FILLER;FILLER
375;A Code of Stars and Tobacco (Part 2);FILLER;FILLER
376;The Time Limit is 15:00!;FILLER;FILLER
377;Momotarou Mystery Solving Tour (Part 1);FILLER;FILLER
378;Momotarou Mystery Solving Tour (Part 2);FILLER;FILLER
379;The Case of the Furisode at the Hidden Hot Spring on a Snowy Night (Part 1);FILLER;FILLER
380;The Case of the Furisode at the Hidden Hot Spring on a Snowy Night (Part 2);FILLER;FILLER
381;Which One's Deduction Show (Part 1);MANGA CANON;Heiji case.
382;Which One's Deduction Show (Part 2);MANGA CANON;Heiji case.
383;Miracle at Koshien Ball Park! The Defiants Face the Dark Demon (2 Hour Special);MANGA CANON;Heiji case. (2 Hour Special)
384;The Target is Kogoro Mouri;FILLER;FILLER
385;The Dissonance of the Stradivarius (Prelude);MAIN PLOT;Black Organization info.
386;The Dissonance of the Stradivarius (Interlude);MAIN PLOT;Black Organization info.
387;The Dissonance of the Stradivarius (Postlude);MAIN PLOT;Black Organization info.
388;Kogoro Gets Drunk in Satsuma (Part 1);FILLER;FILLER
389;Kogoro Gets Drunk in Satsuma (Part 2);FILLER;FILLER
390;Metropolitan Police Detective Love Story 6 (Part 1);MANGA CANON;"""Metropolitan Police Detective Love Story 6"""
391;Metropolitan Police Detective Love Story 6 (Part 2);MANGA CANON;"""Metropolitan Police Detective Love Story 6"""
392;The Mysterious Height Difference of 20cm;FILLER;FILLER
393;A Kidnapping Case... So It Seems;FILLER;FILLER
394;Big Adventure in the Eccentric Mansion (The Seal);MANGA CANON;Kaitō Kid.
395;Big Adventure in the Eccentric Mansion (The Mechanism);MANGA CANON;Kaitō Kid.
396;Big Adventure in the Eccentric Mansion (The Resolution);MANGA CANON;Kaitō Kid.
397;Hot, Bitter, Sweet Soup;FILLER;FILLER
398;The Strange Family's Request (Part 1);MANGA CANON;Some setup and building suspense.
399;The Strange Family's Request (Part 2);MANGA CANON;Some setup and building suspense.
400;Ran's Suspicions;MAIN PLOT;Major character development.
401;A Jewel Thief Caught Red-Handed (Part 1);FILLER;FILLER
402;A Jewel Thief Caught Red-Handed (Part 2);FILLER;FILLER
403;The Mysterious Angel's Mansion (Part 1);FILLER;FILLER
404;The Mysterious Angel's Mansion (Part 2);FILLER;FILLER
405;The Man Who Called for an Ambulance (Remastered)[2];FILLER;FILLER
406;Conan and Heiji's Deduction Magic (The Trick);MANGA CANON;Heiji case.
407;Conan and Heiji's Deduction Magic (The Mansion);MANGA CANON;Heiji case.
408;Conan and Heiji's Deduction Magic (The Resolution);MANGA CANON;Heiji case.
409;The Simultaneous Stage Advance and Kidnapping (Part 1);FILLER;FILLER
410;The Simultaneous Stage Advance and Kidnapping (Part 2);FILLER;FILLER
411;The Shinto Shrine Torii's Surprising Code (Part 1);FILLER;FILLER
412;The Shinto Shrine Torii's Surprising Code (Part 2);FILLER;FILLER
413;The Half Completed Crime Mystery;FILLER;FILLER
414;The Detective Boys' Bluebird Chase;FILLER;FILLER
415;The Evil Spirit Appears on An Unlucky Day (The Case);FILLER;FILLER
416;The Evil Spirit Appears on An Unlucky Day (The Suspicion);FILLER;FILLER
417;The Evil Spirit Appears on An Unlucky Day (The Resolution);FILLER;FILLER
418;Home of Beika's Grenier;FILLER;FILLER
419;Sword of the Eight-Headed Serpent (Part 1);FILLER;FILLER
420;Sword of the Eight-Headed Serpent (Part 2);FILLER;FILLER
421;Gingko-Colored First Love (Part 1);MANGA CANON;Agasa development.
422;Gingko-Colored First Love (Part 2);MANGA CANON;Agasa development.
423;The Detective Boys and the Four Caterpillar Brothers;FILLER;FILLER
424;Photo E-mail from the Clown;FILLER;FILLER
425;Black Impact! The Moment the Black Organization Reaches Out (2.5 Hour Special);MAIN PLOT;"""Black Impact! The Moment the Black Organization Reaches Out"" (2.5 Hour Special)"
426;Love Letter to Ran (Remastered)[2];FILLER;FILLER
427;Super Secret of the Road to School (Part 1);FILLER;FILLER
428;Super Secret of the Road to School (Part 2);FILLER;FILLER
429;Two People Who Can't Return (Part 1);MAIN PLOT;Introduces Hondō Eisuke.
430;Two People Who Can't Return (Part 2);MAIN PLOT;Introduces Hondō Eisuke.
431;Metropolitan Police Detective Love Story 7 (Part 1);MANGA CANON;"""Metropolitan Police Detective Love Story 7"""
432;Metropolitan Police Detective Love Story 7 (Part 2);MANGA CANON;"""Metropolitan Police Detective Love Story 7"""
433;Conan: A Strange Child;FILLER;FILLER
434;The Great Dog Coeur's Triumph;FILLER;FILLER
435;Information Gathered About the Detective Boys (Part 1);FILLER;FILLER
436;Information Gathered About the Detective Boys (Part 2);FILLER;FILLER
437;Aya Ueto and Shinichi - The Promise from 4 Years Ago;FILLER;FILLER
438;The Pursuit of the Fish E-mail;FILLER;FILLER
439;And It'd Be Nice if Everybody Disappeared;FILLER;FILLER
440;The Car Stunt's Utmost Limit;FILLER;FILLER
441;"The Final ""Ahh""";FILLER;FILLER
442;The Man Obstructed by the Steel Frame;FILLER;FILLER
443;Clam Digging With a Sigh (Part 1);FILLER;FILLER
444;Clam Digging With a Sigh (Part 2);FILLER;FILLER
445;Secret of the Russian Blue;FILLER;FILLER
446;The Sealed Western-Style Window (Part 1);FILLER;FILLER
447;The Sealed Western-Style Window (Part 2);FILLER;FILLER
448;The Meguro Sanma Case;FILLER;FILLER
449;Metropolitan Police Detective Love Story - Fake Wedding (1 Hour Special);MANGA CANON;"""Metropolitan Police Detective Love Story — Fake Wedding"" (1 Hour Special)"
450;Trick vs. Magic (Part 1);FILLER;FILLER
451;Trick vs. Magic (Part 2);FILLER;FILLER
452;The Phantom of the Konpira (1 Hour Special);FILLER;FILLER
453;Preview Screening of Fate and Friendship;FILLER;FILLER
454;The Overturned Conclusion (Part 1);FILLER;FILLER
455;The Overturned Conclusion (Part 2);FILLER;FILLER
456;The Mystery I Loved;FILLER;FILLER
457;Sonoko's Red Handkerchief (Part 1);MANGA CANON;Sonoko and Makoto development.
458;Sonoko's Red Handkerchief (Part 2);MANGA CANON;Sonoko and Makoto development.
459;A Mysterious Man - Overly Strict with Regulations;FILLER;FILLER
460;Class 1-B's Great Operation! (Remastered)[2];FILLER;FILLER
461;The Missing Page;FILLER;FILLER
462;The Shadow of the Black Organization (The Young Witness);MAIN PLOT;"""The Shadow of the Black Organization"""
463;The Shadow of the Black Organization (The Strange Illumination);MAIN PLOT;"""The Shadow of the Black Organization"""
464;The Shadow of the Black Organization (The Mystery of the Big Reward);MAIN PLOT;"""The Shadow of the Black Organization"""
465;The Shadow of the Black Organization (Shining Star of Pearl);MAIN PLOT;"""The Shadow of the Black Organization"""
466;The Unsmashable Snowman (Part 1);FILLER;FILLER
467;The Unsmashable Snowman (Part 2);FILLER;FILLER
468;Mysterious Case Near the Pond (Remastered)[2];FILLER;FILLER
469;Kaitou Kid and the Four Masterpieces (Part 1);MANGA CANON;Kaitō Kid.
470;Kaitou Kid and the Four Masterpieces (Part 2) (Remastered)[2];MANGA CANON;Kaitō Kid.
471;The Uncontrollable Rental Car!;FILLER;FILLER
472;Shinichi Kudo's Childhood Adventure (Part 1);MANGA CANON;Kaitō Kid + Shinichi case.
473;Shinichi Kudo's Childhood Adventure (Part 2);MANGA CANON;Kaitō Kid + Shinichi case.
474;The Love of Lawyer Eri Kisaki;FILLER;FILLER
475;Bad Luck Grand Prix;FILLER;FILLER
476;Genta's Certain Kill Shot (Part 1);FILLER;FILLER
477;Genta's Certain Kill Shot (Part 2);FILLER;FILLER
478;Real 30 Minutes;FILLER;FILLER
479;Three Days with Heiji Hattori (2 Hour Special);MANGA CANON;"""Metropolitan Police Detective Love Story 8: The Left Hand's Ring Finger"" (1 Hour Special)"
480;Yellow Alibi;FILLER;FILLER
481;Mountain Witch's Cutlery (Part 1);FILLER;FILLER
482;Mountain Witch's Cutlery (Part 2);FILLER;FILLER
483;The Vanished Policeman;FILLER;FILLER
484;Whereabouts of the Dark Photograph (Part 1);FILLER;FILLER
485;Whereabouts of the Dark Photograph (Part 2);FILLER;FILLER
486;Beckoning Cat from Right to Left;FILLER;FILLER
487;Metropolitan Police Detective Love Story 8: The Left Hand's Ring Finger (1 Hour Special);FILLER;FILLER
488;The Devil of the TV Station (1 Hour Special);FILLER;FILLER
489;Courtroom Confrontation III: Prosecutor as Eyewitness (1 Hour Special);FILLER;FILLER
490;Heiji Hattori vs. Shinichi Kudo: Deduction Battle on the Ski Slope! (1 Hour Special);MANGA CANON;Heiji case. (1 Hour Special)
491;Clash of Red and Black (The Beginning);MAIN PLOT;"""Clash of Red and Black"" - The longest Black Organization arc."
492;Clash of Red and Black (Blood Relative);MAIN PLOT;"""Clash of Red and Black"" - The longest Black Organization arc."
493;Clash of Red and Black (Exclamation);MAIN PLOT;"""Clash of Red and Black"" - The longest Black Organization arc."
494;Clash of Red and Black (Hades);MAIN PLOT;"""Clash of Red and Black"" - The longest Black Organization arc."
495;Clash of Red and Black (Coma);MAIN PLOT;"""Clash of Red and Black"" - The longest Black Organization arc."
496;Clash of Red and Black (Invasion);MAIN PLOT;"""Clash of Red and Black"" - The longest Black Organization arc."
497;Clash of Red and Black (Awakening);MAIN PLOT;"""Clash of Red and Black"" - The longest Black Organization arc."
498;Clash of Red and Black (Disturbance);MAIN PLOT;"""Clash of Red and Black"" - The longest Black Organization arc."
499;Clash of Red and Black (Disguise);MAIN PLOT;"""Clash of Red and Black"" - The longest Black Organization arc."
500;Clash of Red and Black (Testament);MAIN PLOT;"""Clash of Red and Black"" - The longest Black Organization arc."
501;Clash of Red and Black (Suspicion);MAIN PLOT;"""Clash of Red and Black"" - The longest Black Organization arc."
502;Clash of Red and Black (Innocence);MAIN PLOT;"""Clash of Red and Black"" - The longest Black Organization arc."
503;Clash of Red and Black (Ready to Die);MAIN PLOT;"""Clash of Red and Black"" - The longest Black Organization arc."
504;Clash of Red and Black (Killed in the Line of Duty);MAIN PLOT;"""Clash of Red and Black"" - The longest Black Organization arc."
505;Lawyer Eri Kisaki's Testimony (Part 1);FILLER;FILLER
506;Lawyer Eri Kisaki's Testimony (Part 2);FILLER;FILLER
507;The Blind Spot in the Karaoke Box (Part 1);MAIN PLOT;Eisuke development.
508;The Blind Spot in the Karaoke Box (Part 2);MAIN PLOT;Eisuke development.
509;Red, White, Yellow, and the Detective Boys;MAIN PLOT;Introduces Okiya Subaru and some Black Organization info.
510;Conan vs. Double Code Mystery;MAIN PLOT;Introduces Okiya Subaru and some Black Organization info.
511;Deduction Showdown! Shinichi vs. Subaru Okiya;MAIN PLOT;Introduces Okiya Subaru and some Black Organization info.
512;The Broken Horoscope;FILLER;FILLER
513;Coffee Aroma with Murderous Intention (Part 1);FILLER;FILLER
514;Coffee Aroma with Murderous Intention (Part 2);FILLER;FILLER
515;Kaitou Kid's Teleportation Magic (1 Hour Special);MANGA CANON;Kaitō Kid. (1 Hour Special)
516;Furinkazan - The Mysterious Armored Warrior (1 Hour Special);MANGA CANON;Heiji case. Introduces Yamato Kansuke and Uehara Yui. (1 Hour Special)
517;Furinkazan - Shadow and Lightning Conclusion;MANGA CANON;Heiji case. Introduces Yamato Kansuke and Uehara Yui.
518;Meiji Restoration Mystery Tour: Investigation Chapter;FILLER;FILLER
519;Meiji Restoration Mystery Tour: Decipher Chapter;FILLER;FILLER
520;Red Wine Indictment;FILLER;FILLER
521;Murderer, Shinichi Kudo (1 Hour Special);MAIN PLOT;Shinichi case. Major development for the main characters, and Heiji is part of it this time. (1 Hour Special)
522;Shinichi's True Face and Ran's Tears (1 Hour Special);MAIN PLOT;Shinichi case. Major development for the main characters, and Heiji is part of it this time. (1 Hour Special)
523;What She Truly Wants to Ask;MAIN PLOT;Shinichi case. Major development for the main characters, and Heiji is part of it this time.
524;The Blue Spark of Hate (Part 1);MAIN PLOT;Shinichi case. Major development for the main characters, and Heiji is part of it this time.
525;The Blue Spark of Hate (Part 2);MAIN PLOT;Shinichi case. Major development for the main characters, and Heiji is part of it this time.
526;A Present from the True Culprit;FILLER;FILLER
527;The Malice Hidden Behind the Masque;FILLER;FILLER
528;Might Over Mystery (Part 1);FILLER;FILLER
529;Might Over Mystery (Part 2);FILLER;FILLER
530;The Truth Behind the Urban Legend (Part 1);FILLER;FILLER
531;The Truth Behind the Urban Legend (Part 2);FILLER;FILLER
532;The Scar of First Love;MANGA CANON;Development for Superintendent Matsumoto, Takagi, and Satō.
533;The Scar that Evokes the Past;MANGA CANON;Development for Superintendent Matsumoto, Takagi, and Satō.
534;The New Scar and the Whistling Man;MANGA CANON;Development for Superintendent Matsumoto, Takagi, and Satō.
535;An Old Scar and the Detective's Spirit;MANGA CANON;Development for Superintendent Matsumoto, Takagi, and Satō.
536;The Secret of the Vanished Masterpiece;FILLER;FILLER
537;Kaitou Kid vs. the Strongest Safe (Part 1);MANGA CANON;Kaitō Kid.
538;Kaitou Kid vs. the Strongest Safe (Part 2);MANGA CANON;Kaitō Kid.
539;A Fool's Inheritance;FILLER;FILLER
540;The Day Kogoro Mouri Ceased Being a Detective (Part 1);FILLER;FILLER
541;The Day Kogoro Mouri Ceased Being a Detective (Part 2);FILLER;FILLER
542;Ikkaku Rock's Disappearing Fish (Part 1);MAIN PLOT;Subaru development.
543;Ikkaku Rock's Disappearing Fish (Part 2);MAIN PLOT;Subaru development.
544;The Hand That Plays in Dissonance;FILLER;FILLER
545;The Witch Enshrouded by Fog (Part 1);FILLER;FILLER
546;The Witch Enshrouded by Fog (Part 2);FILLER;FILLER
547;Two Days with the Culprit (First Day);FILLER;FILLER
548;Two Days with the Culprit (Second Day);FILLER;FILLER
549;The Revolving Sushi Mystery (Part 1);FILLER;FILLER
550;The Revolving Sushi Mystery (Part 2);FILLER;FILLER
551;The Culprit is Genta's Dad (Part 1);FILLER;FILLER
552;The Culprit is Genta's Dad (Part 2);FILLER;FILLER
553;The Interrogation Room;FILLER;FILLER
554;Stork Mystery Tour (Ran's Search Chapter);FILLER;FILLER
555;Stork Mystery Tour (Haruna's Pursuit Chapter);FILLER;FILLER
556;Intersection of Fear;FILLER;FILLER
557;A Dangerous Party of Two;MANGA CANON;Character development for some of the main characters, introduces Morofushi Takaaki, and some Inspector Yamato and Uehara development.
558;The Mansion of Death and the Red Wall (Three Visits);MANGA CANON;Character development for some of the main characters, introduces Morofushi Takaaki, and some Inspector Yamato and Uehara development.
559;The Mansion of Death and the Red Wall (Item in Hand);MANGA CANON;Character development for some of the main characters, introduces Morofushi Takaaki, and some Inspector Yamato and Uehara development.
560;The Mansion of Death and the Red Wall (The Late Komei);MANGA CANON;Character development for some of the main characters, introduces Morofushi Takaaki, and some Inspector Yamato and Uehara development.
561;The Mansion of Death and the Red Wall (Empty Fort Strategy);MANGA CANON;Character development for some of the main characters, introduces Morofushi Takaaki, and some Inspector Yamato and Uehara development.
562;Rainbow Color Kidnapping;FILLER;FILLER
563;Detective Boys vs. Robber Group (Turmoil);MAIN PLOT;Big FBI and Black Organization goings on.
564;Detective Boys vs. Robber Group (Silence);MAIN PLOT;Big FBI and Black Organization goings on.
565;The Eyewitness Who Did Not See;FILLER;FILLER
566;The Partner is Santa-san;FILLER;FILLER
567;Murderous Intent Raining on an Outdoor Spa;FILLER;FILLER
568;Inspector Shiratori, Memories of the Cherry Blossom (Part 1);MANGA CANON;Inspector Shiratori and Kobayashi-sensei development.
569;Inspector Shiratori, Memories of the Cherry Blossom (Part 2);MANGA CANON;Inspector Shiratori and Kobayashi-sensei development.
570;The Crime with Zero Possibility to be Proven;FILLER;FILLER
571;Battle of the Haunted Warehouse's Treasure (Part 1);FILLER;FILLER
572;Battle of the Haunted Warehouse's Treasure (Part 2);FILLER;FILLER
573;The Whereabouts of the Embarrassing Charm (Part 1);MANGA CANON;Heiji case.
574;The Whereabouts of the Embarrassing Charm (Part 2);MANGA CANON;Heiji case.
575;The Alibi of the Black Dress (Part 1);FILLER;FILLER
576;The Alibi of the Black Dress (Part 2);FILLER;FILLER
577;The Truth Lit Up By the Fireflies;FILLER;FILLER
578;The Crisis Beckoned by the Red Omen;MAIN PLOT;Subaru and Jodie development, and some Black Organization activity.
579;The Suggestion of Black Thirteen;MAIN PLOT;Subaru and Jodie development, and some Black Organization activity.
580;The Black Time Limit Drawing Near;MAIN PLOT;Subaru and Jodie development, and some Black Organization activity.
581;The Red Shaking Target;MAIN PLOT;Subaru and Jodie development, and some Black Organization activity.
582;The Night the Zombie Died;FILLER;FILLER
583;Kobayashi-sensei's Love;MANGA CANON;Inspector Shiratori and Kobayashi-sensei development.
584;Inspector Shiratori's Lost Love;MANGA CANON;Inspector Shiratori and Kobayashi-sensei development.
585;Timeless Sakura's Love;MANGA CANON;Inspector Shiratori and Kobayashi-sensei development.
586;The Kirin's Horn That Vanished into the Dark;MANGA CANON;Kaitō Kid.
587;Kid vs. the Four Divine Detective Boys;MANGA CANON;Kaitō Kid.
588;The Trap of the Rooftop Farm;FILLER;FILLER
589;The Worst Birthday (Part 1);FILLER;FILLER
590;The Worst Birthday (Part 2);FILLER;FILLER
591;The House with the Aquarium;FILLER;FILLER
592;The Detective Memoir of Monkey and Rake (Part 1);MANGA CANON;Ran development.
593;The Detective Memoir of Monkey and Rake (Part 2);MANGA CANON;Ran development.
594;The Seven Wonders of the Hiroshima Miyajima Tour (Miyajima Part);FILLER;FILLER
595;The Seven Wonders of the Hiroshima Miyajima Tour (Hiroshima Part);FILLER;FILLER
596;The Alibi of the Fall;FILLER;FILLER
597;The Scenario of the Steaming Locked Room (Part 1);FILLER;FILLER
598;The Scenario of the Steaming Locked Room (Part 2);FILLER;FILLER
599;A Friend of Justice;FILLER;FILLER
600;The Dream the Kappa Saw (Part 1);FILLER;FILLER
601;The Dream the Kappa Saw (Part 2);FILLER;FILLER
602;The Devil Hidden in the Tennis Court;FILLER;FILLER
603;The Séance's Double Locked Room Mystery Case (First Locked Room);FILLER;FILLER
604;The Séance's Double Locked Room Mystery Case (Second Locked Room);FILLER;FILLER
605;The Séance's Double Locked Room Mystery Case (Opened Locked Room);FILLER;FILLER
606;Courtroom Confrontation IV: Juror Sumiko Kobayashi (Part 1);FILLER;FILLER
607;Courtroom Confrontation IV: Juror Sumiko Kobayashi (Part 2);FILLER;FILLER
608;White Day of Betrayal (Part 1);FILLER;FILLER
609;White Day of Betrayal (Part 2);FILLER;FILLER
610;The Victim is Shinichi Kudo;MANGA CANON;Heiji case.
611;Inubushi Castle, The Ablazed Demon Dog (Will-o'-The-Wisp Chapter);MANGA CANON;Heiji case.
612;Inubushi Castle, The Ablazed Demon Dog (Footsteps Chapter);MANGA CANON;Heiji case.
613;Inubushi Castle, The Ablazed Demon Dog (Chapter of Princess);MANGA CANON;Heiji case.
614;The Secret Played by the Diary (Part 1);FILLER;FILLER
615;The Secret Played by the Diary (Part 2);FILLER;FILLER
616;Holmes' Revelation (Holmes' Apprentice);MAIN PLOT;"""Holmes' Revelation"" - Major development for the main characters."
617;Holmes' Revelation (Love is 0);MAIN PLOT;"""Holmes' Revelation"" - Major development for the main characters."
618;Holmes' Revelation (Satan);MAIN PLOT;"""Holmes' Revelation"" - Major development for the main characters."
619;Holmes' Revelation (Code Break);MAIN PLOT;"""Holmes' Revelation"" - Major development for the main characters."
620;Holmes' Revelation (Grass Court Queen);MAIN PLOT;"""Holmes' Revelation"" - Major development for the main characters."
621;Holmes' Revelation (0 is Start);MAIN PLOT;"""Holmes' Revelation"" - Major development for the main characters."
622;Emergency Situation 252 (Part 1);MAIN PLOT;Haibara and Subaru development.
623;Emergency Situation 252 (Part 2);MAIN PLOT;Haibara and Subaru development.
624;A Video Letter of First Love;MANGA CANON;Introduces Miike Naeko.
625;The Screaming Operation Room (Part 1);FILLER;FILLER
626;The Screaming Operation Room (Part 2);FILLER;FILLER
627;Conan & Kid's Battle For Ryoma's Treasure (Part 1);MANGA CANON;Kaitō Kid.
628;Conan & Kid's Battle For Ryoma's Treasure (Part 2);MANGA CANON;Kaitō Kid.
629;The Promo Video Shooting Case (Part 1);FILLER;FILLER
630;The Promo Video Shooting Case (Part 2);FILLER;FILLER
631;What the Flower Clock Knew (Remastered)[2];FILLER;FILLER
632;The Guardian of Time's Sword (Part 1);FILLER;FILLER
633;The Guardian of Time's Sword (Part 2);FILLER;FILLER
634;The Super Narrow Shop Crime Scene;FILLER;FILLER
635;Beware of Dieting;FILLER;FILLER
636;The Most Useful School in the World Case (Part 1);FILLER;FILLER
637;The Most Useful School in the World Case (Part 2);FILLER;FILLER
638;Solving Mysteries at the Red Leaf Palace (Part 1);FILLER;FILLER
639;Solving Mysteries at the Red Leaf Palace (Part 2);FILLER;FILLER
640;The Memory Trip of the Eight Sketches (Okayama Part);FILLER;FILLER
641;The Memory Trip of the Eight Sketches (Kurashiki Part);FILLER;FILLER
642;Grabbing Karuta Cards in Dire Straits (Part 1);FILLER;FILLER
643;Grabbing Karuta Cards in Dire Straits (Part 2);FILLER;FILLER
644;Ramen So Good, It's to Die For (Part 1);FILLER;FILLER
645;Ramen So Good, It's to Die For (Part 2);FILLER;FILLER
646;Deduction Showdown at the Haunted Hotel (Part 1);MAIN PLOT;Introduces Sera Masumi.
647;Deduction Showdown at the Haunted Hotel (Part 2);MAIN PLOT;Introduces Sera Masumi.
648;The Case of the Besieged Detective Agency (Outbreak);MAIN PLOT;Sera development.
649;The Case of the Besieged Detective Agency (Sniping);MAIN PLOT;Sera development.
650;The Case of the Besieged Detective Agency (Release);MAIN PLOT;Sera development.
651;Conan vs. Heiji, Deduction Battle Between the Detectives of the East and West (1 Hour Special);MAIN PLOT;Heiji case. Also some Sera development. (1 Hour Special)
652;The Design of Poison and Mirage (EYE);MANGA CANON;Heiji case. Introduces Yonehara Sakurako.
653;The Design of Poison and Mirage (S);MANGA CANON;Heiji case. Introduces Yonehara Sakurako.
654;The Design of Poison and Mirage (Poison);MANGA CANON;Heiji case. Introduces Yonehara Sakurako.
655;The Design of Poison and Mirage (Illusion);MANGA CANON;Heiji case. Introduces Yonehara Sakurako.
656;The Professor's Video Site (Part 1);MAIN PLOT;Sera and Subaru development.
657;The Professor's Video Site (Part 2);MAIN PLOT;Sera and Subaru development.
658;The Hot Chocolate Trap;FILLER;FILLER
659;Co-Investigating with a First Love (Part 1);MANGA CANON;Detective Chiba and Miike development.
660;Co-Investigating with a First Love (Part 2);MANGA CANON;Detective Chiba and Miike development.
661;Kogoro-san is a Good Man (Part 1);FILLER;FILLER
662;Kogoro-san is a Good Man (Part 2);FILLER;FILLER
663;Chase the Miyama Stag Beetle;FILLER;FILLER
664;The Great Dog Coeur's Triumph 2;FILLER;FILLER
665;The Suspicious Initial K;FILLER;FILLER
666;The Rainy Night Menace;FILLER;FILLER
667;Wedding Eve (Part 1);MAIN PLOT;Introduces Amuro Tōru.
668;Wedding Eve (Part 2);MAIN PLOT;Introduces Amuro Tōru.
669;The Dark Tower's Hidden Treasure (Part 1);FILLER;FILLER
670;The Dark Tower's Hidden Treasure (Part 2);FILLER;FILLER
671;Detectives' Nocturne (The Case);MAIN PLOT;"""Detectives' Nocturne""—Major development for Subaru, Sera, and Amuro, and some Black Organization."
672;Detectives' Nocturne (Kidnapping);MAIN PLOT;"""Detectives' Nocturne""—Major development for Subaru, Sera, and Amuro, and some Black Organization."
673;Detectives' Nocturne (Deduction);MAIN PLOT;"""Detectives' Nocturne""—Major development for Subaru, Sera, and Amuro, and some Black Organization."
674;Detectives' Nocturne (Bourbon);MAIN PLOT;"""Detectives' Nocturne""—Major development for Subaru, Sera, and Amuro, and some Black Organization."
675;Won't Forgive Even One Millimeter (Part 1) (Remastered)[2];MAIN PLOT;Some mild Sera development and Black Organization buildup.
676;Won't Forgive Even One Millimeter (Part 2);MAIN PLOT;Some mild Sera development and Black Organization buildup.
677;The Footprintless Beach;FILLER;FILLER
678;Nagasaki Mystery Theatre (End of the Edo);FILLER;FILLER
679;Nagasaki Mystery Theatre (Modern Time);FILLER;FILLER
680;Cactus Capriccio;FILLER;FILLER
681;The Life-Threatening Broadcast of Love (Begin Broadcasting);MAIN PLOT;"""The Life-Threatening Broadcast of Love"" - Major development for Satō and Takagi and lesser development for Sera and Amuro."
682;The Life-Threatening Broadcast of Love (Desperate Situation);MAIN PLOT;"""The Life-Threatening Broadcast of Love"" - Major development for Satō and Takagi and lesser development for Sera and Amuro."
683;The Life-Threatening Broadcast of Love (Enter the Scene);MAIN PLOT;"""The Life-Threatening Broadcast of Love"" - Major development for Satō and Takagi and lesser development for Sera and Amuro."
684;Froth, Steam, and Smoke (Part 1);MAIN PLOT;Haibara and Subaru development.
685;Froth, Steam, and Smoke (Part 2);MAIN PLOT;Haibara and Subaru development.
686;A Car Carrying a Time Bomb;FILLER;FILLER
687;The Unsolvable Ice Trap;FILLER;FILLER
688;Detective Takagi Finds 30 Million Yen;FILLER;FILLER
689;The Client's Message;FILLER;FILLER
690;Yusaku Kudo's Cold Case (Part 1);MAIN PLOT;Subaru, Sera, and Conan’s dad development.
691;Yusaku Kudo's Cold Case (Part 2);MAIN PLOT;Subaru, Sera, and Conan’s dad development.
692;The Evening Cherry Blossom Viewing Route on Sumida River (Part 1);FILLER;FILLER
693;The Evening Cherry Blossom Viewing Route on Sumida River (Part 2);FILLER;FILLER
694;The Missing Sweets in the Old Shop;FILLER;FILLER
695;The Roses in the Vineyard;FILLER;FILLER
696;The Flowerbed Vandal's Scheme (Remastered)[2];FILLER;FILLER
697;The Window at the Girls' School;FILLER;FILLER
698;Unbelievable! The Case of the Crashed UFO;FILLER;FILLER
699;The Shadow Approaching Haibara's Secret (Part 1);MAIN PLOT;Haibara and Sera development with a bit of important Subaru and Amuro. Build up for the following big event.
700;The Shadow Approaching Haibara's Secret (Part 2);MAIN PLOT;Haibara and Sera development with a bit of important Subaru and Amuro. Build up for the following big event.
701;The Jet-Black Mystery Train (Departure);MAIN PLOT;"""The Pitch Black Mystery Train"" - Big Black Organization event AND Kaitō Kid at the same time. Important development for Haibara, Conan’s mom, Shūichi, Subaru, Sera, and Amuro."
702;The Jet-Black Mystery Train (Tunnel);MAIN PLOT;"""The Pitch Black Mystery Train"" - Big Black Organization event AND Kaitō Kid at the same time. Important development for Haibara, Conan’s mom, Shūichi, Subaru, Sera, and Amuro."
703;The Jet-Black Mystery Train (Intersection);MAIN PLOT;"""The Pitch Black Mystery Train"" - Big Black Organization event AND Kaitō Kid at the same time. Important development for Haibara, Conan’s mom, Shūichi, Subaru, Sera, and Amuro."
704;The Jet-Black Mystery Train (Destination);MAIN PLOT;"""The Pitch Black Mystery Train"" - Big Black Organization event AND Kaitō Kid at the same time. Important development for Haibara, Conan’s mom, Shūichi, Subaru, Sera, and Amuro."
705;Conan in a Locked Room;MAIN PLOT;Some followup with some plan details and Amuro.
706;Bourbon Figures It Out;MAIN PLOT;Some followup with some plan details and Amuro.
707;The Framed Great Detective;FILLER;FILLER
708;The Man Who Fell Slowly;FILLER;FILLER
709;An Unconfirmed Shocking Case;FILLER;FILLER
710;Everyone Saw (Part 1);MANGA CANON;Heiji case.
711;Everyone Saw (Part 2);MANGA CANON;Heiji case.
712;Heiji Hattori and the Vampire Mansion (1);MANGA CANON;Heiji case.
713;Heiji Hattori and the Vampire Mansion (2);MANGA CANON;Heiji case.
714;Heiji Hattori and the Vampire Mansion (3);MANGA CANON;Heiji case.
